Branch Code	PromoBuyXTakeYCode	PromoBuyXTakeY_Name	start_date	end_date	quantity	take	is_discount_percent	is_discount_amount	is_fixed_price	value	Product_Barcode_Buy	Product_Barcode_Take	disable
E0054	PBXTY000062-2	BUY 1 TAKE 1	2023-03-06 08:00:00	2023-03-07 23:59:00	1	1	0	0	1	0	8900000004959	8900000004957	0
E0054	PBXTY000062-2	BUY 1 TAKE 1	2023-03-06 08:00:00	2023-03-07 23:59:00	1	1	0	0	1	0	4800631002734	4800365671299	0
