STOCK CODE	ITEM CODE	ITEM DESCRIPTION	PACKAGING	QTY	CONVF	TOTAL PCS	UNIT PRICE	TOTAL AMOUNT	ART_HIERC1	ART_HIERC2	ART_HIERC3	ART_HIERC4	DESC_CODE	ART_PRODT	S. TEXT	PLANT	WAREHOUSE	STORAGE BIN	WAREHOUSE GROUP	BOX BARCODE	BOX NO	OUT TYPE	OUT HEADER	DATE_TIME
22092910000000013	LBT01501	#0050 blue sleeveless ASSTD COLOR	BOX	0	20.00	20	99.00000	1980.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG		PL-001	W1-G2	ABRA	ABRA	333322000000190001	1		20220000000010	2022-10-06 08:42:29
22092910000000013	LBT01501	#0050 blue sleeveless ASSTD COLOR	BOX	0	20.00	20	99.00000	1980.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG		PL-001	W1-G2	ABRA	ABRA	333322000000190002	2		20220000000010	2022-10-06 08:42:29
22092910000000014	LBT01504	#0071 YELLOW SLEEVELESS asstd color	BOX	0	10.00	10	99.00000	990.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG		PL-001	W1-G2	BATAC	BATAC	333322000000200001	1		20220000000010	2022-10-06 08:42:29
22092910000000014	LBT01504	#0071 YELLOW SLEEVELESS asstd color	BOX	0	10.00	10	99.00000	990.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG		PL-001	W1-G2	BATAC	BATAC	333322000000200002	2		20220000000010	2022-10-06 08:42:29
22100610000000008	LBT01501	#0050 blue sleeveless ASSTD COLOR	BOX	1	20.00	20	99.00000	1980.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG		PL-001	W1-G2	ABRA	ABRA	333322000000280001	1			2022-10-06 13:22:17
22100610000000008	LBT01501	#0050 blue sleeveless ASSTD COLOR	BOX	1	20.00	20	99.00000	1980.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG		PL-001	W1-G2	ABRA	ABRA	333322000000280002	2			2022-10-06 13:22:17
