Branch Code	PromoBuyXTakeYCode	PromoBuyXTakeY_Name	start_date	start_time	end_date	end_time	quantity	take	is_discount_percent	is_discount_amount	is_fixed_price	value	Product_Barcode_Buy	Product_Barcode_Take	disable
E0054	PBXTY000005	BUY 1 TAKE 1	2023-02-08	08:00:00	2023-02-11	23:59:00	5	3	0	0	1	0	1023025011506	2310110097701	0
E0054	PBXTY000005	BUY 1 TAKE 1	2023-02-08	08:00:00	2023-02-11	23:59:00	2	2	0	0	1	0	2310110055701	2320014851101	0
